,Title,Address or Zone,Property Details,Url,Image,Source Info,Source Date or Published Date (Days),Price,No of Bedroom Available,Floor Size or Property Size sq. feet
10,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1079 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.Z1wtp131q1k1-/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.11/,#NA,propertyguru.com.my,12 days ago,MYR 530000,3,1079
11,UNA Cheras, Kuala Lumpur Federal Territory of Kuala Lumpur ,New project in velocity located at the intersection of jalan peel and also situated in between sunway velocity in kuala lumpur construction of...,http://rd.trovit.com/id.t1L1R1_1iN141Z/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.12/,#NA,EdgeProp.my,30+ days ago,MYR 801720,2,829
12,M Vertica Taman Maluri Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,M vertica cheras kl city kuala lumpur for sale new tower block c newly launch! Klcc view unit available super worthy package: low down...,http://rd.trovit.com/id.1gVr1y196xA/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.13/,#NA,iProperty,30+ days ago,MYR 450760,3,850
13,M Vertica Taman Maluri Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,M vertica cheras kl city kuala lumpur for sale new tower block d newly launch! Klcc view unit available cny packages: low down payment!...,http://rd.trovit.com/id.Y1RsW41D11g/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.14/,#NA,iProperty,30+ days ago,MYR 479076,3,850
14,M Vertica Taman Maluri Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,M vertica taman maluri cheras m vertica cheras kl city kuala lumpur for sale new tower block d newly launch! Klcc view unit available cny...,http://rd.trovit.com/id.uqE1Yh12157/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.15/,#NA,iProperty,30+ days ago,MYR 483000,3,850
15,M Vertica Taman Maluri Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,M vertica cheras kl city kuala lumpur for sale new tower block c newly launch! Klcc view unit available cny packages: low down payment!...,http://rd.trovit.com/id.1h1UrOq1R171m/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.16/,#NA,iProperty,30+ days ago,MYR 478058,3,850
16,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1079 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.1X1a1jB121Op1/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.17/,#NA,propertyguru.com.my,30+ days ago,MYR 520000,3,1079
17,Taman Maluri, 55100 Kuala Lumpur Federal Territory of Kuala Lumpur ,4 Storey for Location: Taman Maluri Cheras corner unit 26x80 Tenanted can sell together with tenant Good location Selling price: rm3. 6mil neo,http://rd.trovit.com/id.1-1N1F1E1jE1m12/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.18/,#NA,EdgeProp.my,30+ days ago,MYR 3600000,8,2200
18,M Vertica Taman Maluri Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,M vertica cheras kl city kuala lumpur for sale new tower block d newly launch! Klcc view unit available cny packages: low down payment!...,http://rd.trovit.com/id.1Ko1V1Y1O1k1b1Y/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.19/,#NA,iProperty,30+ days ago,MYR 483080,3,850
19,M Vertica Taman Maluri Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,M vertica taman maluri cheras m vertica cheras kl city kuala lumpur for sale new tower block d newly launch! Klcc view unit available cny...,http://rd.trovit.com/id.1U1u121818dO1B/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.20/,#NA,iProperty,30+ days ago,MYR 485800,3,850
20,M Vertica Taman Maluri Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,M vertica at cheras kl city kuala lumpur for sale new tower block c official launching soon! Hoc 2019 (home ownership campaign) free mot ...,http://rd.trovit.com/id.c_Po41y1ry/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.21/,#NA,iProperty,30+ days ago,MYR 483096,3,850
21,M Vertica Taman Maluri Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,M vertica at cheras kl city kuala lumpur for sale new tower block d klcc view unit official launching! HOC 2019 (Home Ownership Campaign)...,http://rd.trovit.com/id.1y1e1Ru1R9b1w/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.22/,#NA,iProperty,30+ days ago,MYR 483003,3,850
22,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1070 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.1aV1-uxP1z1K/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.23/,#NA,propertyguru.com.my,30+ days ago,MYR 485000,3,1070
23,Taman Miharja Apartment (LRT Miharja) Cheras, Kuala Lumpur Federal Territory of Kuala Lumpur ,Taman Miharja Apartment for Facing Playground. Built up: 800sq ft (3rooms 2bathrooms) Partly furnished. Tenanted for 10 years. RM260000 negotiab,http://rd.trovit.com/id.1VFc1A1U1t5J/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.24/,#NA,EdgeProp.my,30+ days ago,MYR 260000,3,800
24,M Vertica Taman Maluri Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,M vertica at cheras kl city kuala lumpur for sale new tower block d klcc+trx + kl tower view unit official launching! HOC 2019 (Home...,http://rd.trovit.com/id.9-H1x1v1g1J1_/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.24732web-modphp-015dbda34550ed7/tracking/what_d.kuala%20lumpur/type.1/page.1/cookieid.421531292365dbda345503586.96995317/campaigns.283/pos.25/,#NA,iProperty,15 days ago,MYR 479096,3,850
25,M Vertica Taman Maluri Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,M vertica at cheras kl city kuala lumpur for sale new tower block d klcc view unit official launching! HOC 2019 (Home Ownership Campaign)...,http://rd.trovit.com/id.1S17s1N121Mc1K/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.1/,//img-ap-1.trovit.com/img1my/1S17s1N121Mc1K/1S17s1N121Mc1K.1_10.jpg,iProperty,30+ days ago,MYR 483009,3,850
26,M Vertica Taman Maluri Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,M vertica at cheras kl city kuala lumpur for sale new tower block d klcc view unit official launching! HOC 2019 (Home Ownership Campaign)...,http://rd.trovit.com/id.11zzJwhF1m/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.2/,//img-ap-1.trovit.com/img1my/11zzJwhF1m/11zzJwhF1m.1_10.jpg,iProperty,30+ days ago,MYR 461097,3,850
27,Amaya Maluri Taman Maluri Cheras, 55100 Kuala Lumpur Federal Territory of Kuala Lumpur ,Amaya maluri service residence for sale! *no need downpayment. *100% loan. *fully renovate view to believe*.*rm50k to renovate*.*unique renovati,http://rd.trovit.com/id.b3nTE81b1k/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.3/,//img-ap-1.trovit.com/img1my/b3nTE81b1k/b3nTE81b1k.1_10.jpg,iProperty,30+ days ago,MYR 430000,2,719
28,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1079 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.Sury8V1OF/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.4/,//img-ap-1.trovit.com/img1my/Sury8V1OF/Sury8V1OF.1_10.jpg,propertyguru.com.my,30+ days ago,MYR 550000,3,1079
29,4-Storey-Factory-Bunga-Melur-Tmn-Suria-Jaya-Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,4 Storey Factory intermediate terrace factory in Jalan Bunga Melur 3 for below market value. LA 1798sf BU 6990sf Please call Ben 0162018--- for ,http://rd.trovit.com/id.O1B1W161TbX1V/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.5/,#NA,EdgeProp.my,2 days ago,MYR 1400000,6,6990
30,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1050 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.Tq51101X1ZA/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.6/,#NA,propertyguru.com.my,8 days ago,MYR 500000,3,1050
31,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1079 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.VC1m1t1bs1E1x/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.7/,#NA,propertyguru.com.my,30+ days ago,MYR 488000,3,1079
32,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1050 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.1i1Jn1hC131M1W/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.8/,#NA,propertyguru.com.my,30+ days ago,MYR 500000,3,1050
33,Seri Cendekia Taman Connaught Cheras, 56000 Kuala Lumpur Federal Territory of Kuala Lumpur ,Selangor Cheras Tmn Connaught Sri Cendekia Condo 3 bed 2 Bath Partly Furnished 1 Carpark #ALWYN LEE 0123662---,http://rd.trovit.com/id.6j1VZ1G1qgb/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.9/,#NA,iProperty,30+ days ago,MYR 275000,3,980
34,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1080 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.1lH01qU1m1cy/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.10/,#NA,propertyguru.com.my,30+ days ago,MYR 470000,3,1080
35,3 bedroom Apartment for sale in Cheras, Kuala Lumpur Federal Territory of Kuala Lumpur ,Apartment. Cheras apartment. Cheras. Plz log on www. Ben83. Com to find your intetested property. Property owners are welcome to my listings too.,http://rd.trovit.com/id.19GU1u1Dwo8/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.11/,#NA,Klpropertylist,9 days ago,MYR 365000,3,975
36,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1050 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.1r1UJB1hzF16/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.12/,#NA,propertyguru.com.my,25 days ago,MYR 470000,3,1050
37,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1080 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.1m1oP1eb14121q/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.13/,#NA,propertyguru.com.my,30+ days ago,MYR 595000,3,1080
38,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1079 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.1p1V1ii1ib11I/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.14/,#NA,propertyguru.com.my,30+ days ago,MYR 470000,3,1079
39,Shamelin Star Taman Shamelin Perkasa Cheras, 55300 Kuala Lumpur Federal Territory of Kuala Lumpur ,RM538K NEGO! 2 parking lot! High floor! Klcc view! If you interested please call faye 016-2888--- thanks  have a nice days),http://rd.trovit.com/id.131rV1x11Mh/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.15/,#NA,iProperty,30+ days ago,MYR 538000,2,774
40,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1079 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.1s1O1C31ObU1_/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.16/,#NA,propertyguru.com.my,30+ days ago,MYR 470000,3,1079
41,Apartment Sri Penara Bandar Sri Permaisuri Cheras, Kuala Lumpur Federal Territory of Kuala Lumpur ,Apartment Sri Penara Bandar Sri Permaisuri Cheras Kuala Lumpur. Details. Block C.Size: 650 sqft. 3 Bedrooms 2 Bathroom. Basic unit (Bumi...,http://rd.trovit.com/id.1Xn1IK1J1D1aM/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.17/,#NA,EdgeProp.my,30+ days ago,MYR 235000,3,650
42,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1080 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.1z1p1bIlb1H4/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.18/,#NA,propertyguru.com.my,30+ days ago,MYR 480000,3,1080
43,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1080 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.8_e1_1F101Xb/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.19/,#NA,propertyguru.com.my,30+ days ago,MYR 595000,3,1080
44,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1050 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.A1HBG-e1sQ/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.20/,#NA,propertyguru.com.my,15 days ago,MYR 478000,3,1050
45,Amaya Maluri Taman Maluri Cheras, 55100 Kuala Lumpur Federal Territory of Kuala Lumpur ,The features of this unit are: mid floor. Partly furnished with air-conds fans water heater kitchen cabinet and lights. 1 car park,http://rd.trovit.com/id.18d1O0F1Ne6/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.21/,#NA,iProperty,30+ days ago,MYR 480000,2,920
46,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1050 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.i1V1bb1y1B1Ix/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.22/,#NA,propertyguru.com.my,24 days ago,MYR 500000,3,1050
47,Manor Apartment Cheras, 55100 Kuala Lumpur Federal Territory of Kuala Lumpur ,Manor Apartment For at Cheras Taman Maluri Kuala Lumpur For: RM350000. Size: 926 sq. ft. 3 bedrooms 2 bathrooms. Partly Furnished. 1 car...,http://rd.trovit.com/id.v1RW1S157111K/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.23/,#NA,EdgeProp.my,30+ days ago,MYR 350000,3,926
48,Bayu @ pandan jaya kuala lumpur, Cheras Ampang Jaya Selangor ,Floor area (Sqft). 1050 Listing Tenure. L Listing Type. SALE Amenities: Gymnasium room Playground 24 hours security Swimming pool Wading poo,http://rd.trovit.com/id.m110KfMc1S/origin.2/section.1/section_type.1/country.my/vertical.homes/iuid.16930web-modphp-075dbda34ac671b/tracking/what_d.kuala%20lumpur/type.1/page.2/cookieid.421531292365dbda34ac5dce8.80630874/campaigns.283/pos.24/,#NA,propertyguru.com.my,20 days ago,MYR 500000,3,1050
